threshold,long_window,short_window,precision,recall,f1_score,accuracy,mcc,true_positive_windows,false_positive_alerts,false_negative_windows,raw_nab_score,normalized_nab_score,model
0.999,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,20,2,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,30,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,40,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.9995,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
